Species,env_breadth,n_inc_obs,fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef,n_obs_total
Campanula_thyrsoides,0.011926991506743513,407,LQ,1,fc.LQ_rm.1,0.9323648648648649,0.995,0.0061799657853067735,0.004261348950455903,0.929003171565279,0.0055964363162425475,0.971,0.009695359714832668,0.11748205651142823,0.02481944944954205,0.002577319587628866,0.005154639175257732,6770.998908636257,0,0.999999998966018,26,614
Campanula_thyrsoides,NA,407,LQ,1.5,fc.LQ_rm.1.5,0.9292113022113022,0.988,0.005785281325241282,0.004396206729227133,0.9267117480483812,0.005671799492197401,0.959,0.021400934559032664,0.11259831342013797,0.028338327505137085,0.002577319587628866,0.005154639175257732,6812.378605719638,41.37969708338096,1.0339819239103277e-9,23,614
Campanula_thyrsoides,NA,407,LQ,2,fc.LQ_rm.2,0.9257201474201474,0.987,0.005917617006088172,0.003977209509118055,0.9231519421017371,0.005879447657480825,0.94825,0.030815310047658633,0.11551630035874347,0.02637654764422296,0.002577319587628866,0.005154639175257732,6856.1239442453525,85.1250356090959,3.2759207064086713e-19,21,614
Campanula_thyrsoides,NA,407,LQ,2.5,fc.LQ_rm.2.5,0.9214388206388207,0.991,0.005735931920369586,0.004207423412275833,0.9190348459551467,0.006062760946257306,0.94425,0.04252352290203621,0.11070232853446235,0.020953929283478938,0.002577319587628866,0.005154639175257732,6907.734066396974,136.7351577607178,2.0339381893106945e-30,21,614
Campanula_thyrsoides,NA,407,L,1,fc.L_rm.1,0.9207346437346438,0.98,0.004475108191569099,0.0047587007560912645,0.9171810230494017,0.003686040882795397,0.92425,0.03518877661982581,0.10769210851393307,0.03139515543981714,0.002577319587628866,0.005154639175257732,6891.4085557289345,120.40964709267791,7.134726824184659e-27,19,614
Campanula_thyrsoides,NA,407,LQ,3,fc.LQ_rm.3,0.9163356265356265,0.994,0.005678008017210245,0.004675301591445351,0.9138253055957257,0.0065266608122890235,0.95275,0.026449637678677786,0.09318042177408059,0.01879836307189563,0.002577319587628866,0.005154639175257732,6963.25046953852,192.251560902263,1.791034621270613e-42,21,614
Campanula_thyrsoides,NA,407,L,1.5,fc.L_rm.1.5,0.9148825552825552,0.976,0.004792788209029036,0.005124596899708915,0.9107114086684144,0.0036367904300047787,0.89425,0.026462237244798507,0.11259831342013797,0.028338327505137085,0.002577319587628866,0.005154639175257732,6957.749135049165,186.75022641290798,2.8035195367801484e-41,20,614
Campanula_thyrsoides,NA,407,LQ,3.5,fc.LQ_rm.3.5,0.9104923832923832,0.994,0.006402244874832375,0.00424193567546839,0.907746330708693,0.007016328344832403,0.95575,0.022677080940897154,0.10268176948297547,0.022771276118773706,0.002577319587628866,0.005154639175257732,7012.966936192186,241.96802755592944,2.8662259078246763e-53,19,614
Campanula_thyrsoides,NA,407,L,2,fc.L_rm.2,0.9083329238329239,0.967,0.005153284405248398,0.0050756402711439426,0.9038369661216175,0.0037521682960522107,0.884,0.02442676128074837,0.11036166118348573,0.020147960267468533,0.002577319587628866,0.005154639175257732,7019.955189001333,248.95628036507605,8.706239313559388e-55,19,614
Campanula_thyrsoides,NA,407,L,2.5,fc.L_rm.2.5,0.8997157248157248,0.958,0.005503823218865361,0.00492246017764307,0.8957131768265308,0.0048865926242428115,0.884,0.043481796957654244,0.10540338921490448,0.017948744158770853,0.002577319587628866,0.005154639175257732,7085.2893926949155,314.2904840586589,5.658333341532722e-69,18,614
Campanula_thyrsoides,NA,407,L,3,fc.L_rm.3,0.8914864864864865,0.957,0.005834527571452031,0.0051631316351677115,0.8878706462569718,0.005362768267234757,0.8825,0.05759918980911682,0.11012037034697995,0.025059703943723796,0.002577319587628866,0.005154639175257732,7143.272593534352,372.2736848980958,1.4514311685312645e-81,17,614
Campanula_thyrsoides,NA,407,L,3.5,fc.L_rm.3.5,0.882834398034398,0.963,0.006258454941691666,0.004964944250147077,0.8810344637470533,0.007132810837944282,0.9015,0.04218609565563831,0.10042265543140859,0.023166772462110744,0.004716981132075472,0.009433962264150943,7198.439345194916,427.4404365586597,1.5222589273767866e-93,14,614
Campanula_thyrsoides,NA,407,L,4,fc.L_rm.4,0.880339312039312,0.971,0.006992581298111977,0.004909590852115675,0.8773305764083795,0.008837236708951323,0.90525,0.037321798813383385,0.10294790795666112,0.02073938933474713,0.004716981132075472,0.009433962264150943,7218.399207312886,447.40029867662906,7.051143301263477e-98,14,614
Campanula_thyrsoides,NA,407,LQ,4,fc.LQ_rm.4,0.9042513513513514,0.992,0.006944302389641138,0.004176259003984429,0.9017282410992787,0.007507455594991918,0.953,0.02770078217908896,0.10010444989534661,0.023286830665939253,0.004935810153666602,0.005710574303216725,7062.109403901721,291.1104952654641,6.111659363215307e-64,18,614
