Species,zone_n,zone_s,zone_g
Acacia_cuthbertsonii,NA,else,else
Acacia_cyclops,else,else,else
Acacia_cyperophylla,NA,else,else
Acacia_dallachiana,NA,else,else
Acacia_daphnifolia,NA,else,else
Acacia_dawsonii,else,else,else
Acacia_dealbata,else,else,else
Acacia_deanei,NA,else,else
Acacia_debilis,NA,else,else
Acacia_decora,else,else,else
Acacia_decurrens,else,else,else
Acacia_delibrata,NA,else,else
Acacia_demissa,NA,else,else
Acacia_dempsteri,NA,else,else
Acacia_dentifera,else,else,else
Acacia_desmondii,NA,else,else
Acacia_dietrichiana,else,else,else
Acacia_difficilis,NA,else,else
Acacia_difformis,NA,else,else
Acacia_dimidiata,NA,else,else
Acacia_disparrima,else,else,else
Acacia_distans,NA,else,else
Acacia_dodonaeifolia,NA,else,else
Acacia_donaldsonii,NA,else,else
Acacia_doratoxylon,NA,else,else
Acacia_drepanophylla,NA,else,else
Acacia_dunnii,NA,else,else
Acacia_duriuscula,NA,else,else
Acacia_echinuliflora,NA,else,else
Acacia_effusifolia,NA,else,else
Acacia_elachantha,NA,else,else
Acacia_elata,else,else,else
Acacia_elongata,else,else,else
Acacia_enervia,NA,else,else
Acacia_ensifolia,NA,else,else
Acacia_ephedroides,NA,else,else
Acacia_eremaea,NA,else,else
Acacia_eriopoda,NA,else,else
Acacia_estrophiolata,NA,else,else
Acacia_excelsa,NA,else,else
Acacia_exigua,NA,else,else
Acacia_exudans,NA,else,else
Acacia_falcata,NA,else,else
Acacia_falciformis,NA,else,else
Acacia_fasciculifera,NA,else,else
Acacia_fauntleroyi,NA,else,else
Acacia_filicifolia,else,else,else
Acacia_filifolia,NA,else,else
Acacia_fimbriata,else,else,else
Acacia_flavescens,NA,else,else
Acacia_fleckeri,NA,else,else
Acacia_floribunda,else,else,else
Acacia_frigescens,NA,else,else
Acacia_fuscaneura,NA,else,else
Acacia_galeata,NA,else,else
Acacia_gardneri,NA,else,else
Acacia_georginae,NA,else,else
Acacia_gibbosa,NA,else,else
Acacia_gillii,NA,else,else
Acacia_glaucocarpa,NA,else,else
Acacia_gonocarpa,NA,else,else
Acacia_gonoclada,NA,else,else
Acacia_grandifolia,NA,else,else
Acacia_grasbyi,NA,else,else
Acacia_hakeoides,NA,else,else
Acacia_hamersleyensis,NA,else,else
Acacia_hammondii,NA,else,else
Acacia_harpophylla,NA,else,else
Acacia_havilandiorum,NA,else,else
Acacia_hemignosta,NA,else,else
Acacia_hemsleyi,NA,else,else
Acacia_heteroclita,NA,else,else
Acacia_holosericea,else,else,else
Acacia_howittii,NA,else,else
Acacia_implexa,else,else,else
Acacia_inaequilatera,NA,else,else
Acacia_incurvaneura,NA,else,else
Acacia_ingramii,NA,else,else
Acacia_intorta,NA,else,else
Acacia_irrorata,else,else,else
Acacia_ixodes,NA,else,else
Acacia_jamesiana,NA,else,else
Acacia_jasperensis,NA,else,else
Acacia_jennerae,NA,else,else
Acacia_jensenii,NA,else,else
Acacia_jibberdingensis,NA,else,else
Acacia_jucunda,NA,else,else
Acacia_julifera,NA,else,else
Acacia_kelleri,NA,else,else
Acacia_kempeana,else,else,else
Acacia_kettlewelliae,NA,else,else
Acacia_koa,else,NA,else
Acacia_lacertensis,NA,else,else
Acacia_lamprocarpa,NA,else,else
Acacia_lasiocalyx,NA,else,else
Acacia_latescens,NA,else,else
Acacia_latifolia,NA,else,else
Acacia_latior,NA,else,else
Acacia_legnota,NA,else,else
Acacia_leiocalyx,NA,else,else
Acacia_leiophylla,else,else,else
Acacia_leprosa,else,else,else
Acacia_leptocarpa,NA,else,else
Acacia_leptoloba,NA,else,else
Acacia_leptopetala,else,else,else
Acacia_leptostachya,NA,else,else
Acacia_leucoclada,NA,else,else
Acacia_ligulata,else,else,else
Acacia_ligustrina,NA,else,else
Acacia_linearifolia,NA,else,else
Acacia_linifolia,else,else,else
Acacia_loderi,NA,else,else
Acacia_longifolia,else,else,else
Acacia_longiphyllodinea,NA,else,else
Acacia_longispicata,NA,else,else
