Species,zone_n,zone_s,zone_g
Euonymus_chiapensis,else,NA,else
Euonymus_cochinchinensis,else,tropical,else
Euonymus_costaricensis,else,NA,else
Euonymus_dielsianus,else,NA,else
Euonymus_echinatus,else,NA,else
Euonymus_europaeus,else,else,else
Euonymus_frigidus,else,NA,else
Euonymus_giraldii,else,NA,else
Euonymus_glaber,else,tropical,else
Euonymus_grandiflorus,else,else,else
Euonymus_hamiltonianus,else,else,else
Euonymus_indicus,else,tropical,tropical
Euonymus_japonicus,else,else,else
Euonymus_latifolius,else,NA,else
Euonymus_laxiflorus,else,NA,else
Euonymus_lucidus,else,else,else
Euonymus_maackii,else,else,else
Euonymus_microcarpus,else,NA,else
Euonymus_myrianthus,else,else,else
Euonymus_nitidus,else,NA,else
Euonymus_occidentalis,else,NA,else
Euonymus_oxyphyllus,else,NA,else
Euonymus_rehderianus,else,NA,else
Euonymus_sanguineus,else,NA,else
Euonymus_tingens,else,else,else
Euonymus_vagans,else,NA,else
Euonymus_venosus,else,NA,else
Euonymus_viburnoides,else,NA,else
Euphorbia_abyssinica,tropical,tropical,tropical
Euphorbia_adenopoda,NA,else,else
Euphorbia_alluaudii,NA,else,else
Euphorbia_ampliphylla,tropical,tropical,tropical
Euphorbia_antiquorum,else,tropical,else
Euphorbia_antso,NA,else,else
Euphorbia_bicompacta,tropical,tropical,tropical
Euphorbia_boivinii,NA,else,else
Euphorbia_bussei,tropical,tropical,tropical
Euphorbia_calyculata,else,NA,else
Euphorbia_candelabrum,tropical,tropical,tropical
Euphorbia_celastroides,else,NA,else
Euphorbia_comosa,tropical,else,else
Euphorbia_confinalis,else,else,else
Euphorbia_cooperi,NA,else,else
Euphorbia_cotinifolia,else,tropical,else
Euphorbia_cuneata,else,tropical,tropical
Euphorbia_cupularis,NA,else,else
Euphorbia_dawei,tropical,tropical,tropical
Euphorbia_dendroides,else,else,else
Euphorbia_drupifera,tropical,tropical,tropical
Euphorbia_espinosa,NA,else,else
Euphorbia_famatamboay,NA,else,else
Euphorbia_fiherenensis,NA,else,else
Euphorbia_friesiorum,tropical,tropical,tropical
Euphorbia_gossypina,tropical,tropical,tropical
Euphorbia_grandidens,NA,else,else
Euphorbia_grandifolia,tropical,NA,tropical
Euphorbia_grantii,NA,tropical,tropical
Euphorbia_griseola,else,else,else
Euphorbia_guerichiana,NA,else,else
Euphorbia_helenae,else,tropical,else
Euphorbia_ingens,else,else,else
Euphorbia_intisy,NA,else,else
Euphorbia_kamerunica,tropical,NA,tropical
Euphorbia_lacei,else,else,else
Euphorbia_lactea,else,else,else
Euphorbia_laurifolia,tropical,tropical,tropical
Euphorbia_leucocephala,else,else,else
Euphorbia_lividiflora,else,else,else
Euphorbia_macvaughii,else,NA,else
Euphorbia_magnicapsula,tropical,tropical,tropical
Euphorbia_mainty,NA,else,else
Euphorbia_margalidiana,else,NA,else
Euphorbia_matabelensis,NA,else,else
Euphorbia_mellifera,else,else,else
Euphorbia_neoglaucescens,NA,tropical,tropical
Euphorbia_neriifolia,else,tropical,else
Euphorbia_nyikae,NA,tropical,tropical
Euphorbia_pervilleana,NA,else,else
Euphorbia_petiolaris,else,NA,else
Euphorbia_physoclada,NA,else,else
Euphorbia_plumerioides,NA,else,else
Euphorbia_poissonii,tropical,NA,tropical
Euphorbia_pulcherrima,else,else,else
Euphorbia_royleana,else,else,else
Euphorbia_schlechtendalii,else,NA,else
Euphorbia_sinclairiana,tropical,tropical,tropical
Euphorbia_stenoclada,else,else,else
Euphorbia_sudanica,else,NA,else
Euphorbia_tanquahuete,else,NA,else
Euphorbia_tetragona,NA,else,else
Euphorbia_tetraptera,NA,else,else
Euphorbia_tirucalli,else,tropical,tropical
Euphorbia_triangularis,NA,else,else
Euphorbia_umbellata,else,else,tropical
Euphronia_acuminatissima,tropical,tropical,tropical
Euphronia_guianensis,tropical,else,tropical
Euphronia_hirtelloides,tropical,tropical,tropical
Euplassa_cantareirae,NA,else,else
Euplassa_inaequalis,tropical,else,else
Euplassa_incana,NA,else,else
Euplassa_legalis,NA,else,else
Euplassa_nebularis,NA,else,else
Euplassa_occidentalis,tropical,tropical,tropical
Euplassa_organensis,NA,else,else
Euplassa_pinnata,tropical,tropical,tropical
Euplassa_rufa,NA,else,else
Euplassa_semicostata,NA,else,else
Eupomatia_barbata,NA,else,else
Eupomatia_laurina,else,else,else
Euptelea_pleiosperma,else,NA,else
Euptelea_polyandra,else,NA,else
Euroschinus_falcatus,NA,else,else
Euroschinus_obtusifolius,NA,else,else
Euroschinus_papuanus,NA,tropical,tropical
Euroschinus_rubromarginatus,NA,else,else
Euroschinus_vieillardii,NA,else,else
Eurya_acuminata,else,tropical,else
Eurya_acuminatissima,else,NA,else
Eurya_alata,else,NA,else
Eurya_brassii,NA,tropical,tropical
Eurya_brevistyla,else,NA,else
Eurya_cavinervis,else,NA,else
Eurya_chinensis,else,tropical,else
Eurya_crenatifolia,else,NA,else
Eurya_distichophylla,else,NA,else
Eurya_fangii,else,NA,else
Eurya_glaberrima,else,NA,else
Eurya_glandulosa,else,NA,else
Eurya_gnaphalocarpa,else,NA,else
Eurya_groffii,else,tropical,else
Eurya_handel-Mazzettii,else,NA,else
Eurya_hebeclados,else,NA,else
Eurya_hupehensis,else,NA,else
Eurya_impressinervis,else,NA,else
Eurya_leptophylla,else,NA,else
Eurya_loquaiana,else,NA,else
Eurya_macartneyi,else,NA,else
Eurya_metcalfiana,else,NA,else
Eurya_muricata,else,NA,else
Eurya_nitida,else,tropical,else
Eurya_oblonga,else,NA,else
Eurya_obovata,tropical,tropical,tropical
Eurya_obtusifolia,else,NA,else
Eurya_pseudocerasifera,else,NA,else
Eurya_pyracanthifolia,else,NA,else
Eurya_quinquelocularis,else,NA,else
Eurya_rubiginosa,else,NA,else
Eurya_semiserrulata,else,NA,else
Eurya_septata,else,NA,else
Eurya_stenophylla,else,NA,else
Eurya_strigillosa,else,NA,else
Eurya_tetragonoclada,else,NA,else
Eurya_tigang,NA,tropical,tropical
Eurya_trichocarpa,else,tropical,else
Eurya_tsaii,else,NA,else
Eurycoma_longifolia,tropical,tropical,tropical
Eurycorymbus_cavaleriei,else,NA,else
Eurypetalum_tessmannii,tropical,tropical,tropical
Eurypetalum_unijugum,tropical,NA,tropical
Eusideroxylon_zwageri,tropical,tropical,tropical
Eustigma_oblongifolium,else,NA,else
Euterpe_catinga,tropical,tropical,tropical
Euterpe_edulis,else,else,else
Euterpe_longibracteata,tropical,tropical,tropical
Euterpe_oleracea,tropical,tropical,tropical
Euterpe_precatoria,tropical,tropical,tropical
Euthemis_leucocarpa,tropical,tropical,tropical
Euthemis_minor,tropical,tropical,tropical
Euxylophora_paraensis,NA,tropical,tropical
Everistia_vacciniifolia,NA,else,else
Exbucklandia_populnea,else,tropical,else
Exbucklandia_tonkinensis,else,NA,else
Excoecaria_acerifolia,else,NA,else
Excoecaria_agallocha,else,else,else
Excoecaria_bussei,NA,else,else
Excoecaria_cochinchinensis,else,tropical,else
Excoecaria_dallachyana,NA,else,else
Excoecaria_formosana,else,NA,else
Excoecaria_goudotiana,NA,else,else
Excoecaria_madagascariensis,tropical,else,else
Excoecaria_oppositifolia,else,tropical,else
Excoecaria_parvifolia,NA,else,else
Excoecaria_simii,NA,else,else
Exellodendron_barbatum,tropical,tropical,tropical
Exellodendron_cordatum,NA,else,else
Exellodendron_coriaceum,tropical,tropical,tropical
Exellodendron_gracile,NA,else,else
Exocarpos_aphyllus,NA,else,else
Exocarpos_cupressiformis,NA,else,else
Exocarpos_latifolius,tropical,else,else
Exocarpos_neocaledonicus,NA,else,else
Exocarpos_phyllanthoides,NA,else,else
Exocarpos_sparteus,NA,else,else
Exostema_caribaeum,else,NA,else
Exostema_spinosum,else,NA,else
Exostyles_godoyensis,NA,else,else
Exostyles_venusta,NA,else,else
Exothea_copalillo,else,NA,else
Exothea_diphylla,else,tropical,else
Exothea_paniculata,else,tropical,else
Eysenhardtia_adenostylis,else,NA,else
Eysenhardtia_orthocarpa,else,NA,else
Eysenhardtia_platycarpa,else,NA,else
Eysenhardtia_polystachya,else,NA,else
Eysenhardtia_punctata,else,NA,else
Eysenhardtia_subcoriacea,else,NA,else
Eysenhardtia_texana,else,NA,else
Facheiroa_cephaliomelana,NA,else,else
Facheiroa_squamosa,NA,tropical,tropical
Fadogia_erythrophloea,tropical,NA,tropical
Fagaropsis_angolensis,tropical,tropical,tropical
Fagraea_auriculata,tropical,tropical,tropical
Fagraea_berteroana,else,else,else
Fagraea_blumei,tropical,tropical,tropical
Fagraea_bodenii,NA,tropical,tropical
Fagraea_ceilanica,else,tropical,tropical
Fagraea_gracilipes,NA,tropical,tropical
Fagraea_macroscypha,tropical,tropical,tropical
Fagraea_salticola,NA,tropical,tropical
Fagus_crenata,else,NA,else
Fagus_engleriana,else,NA,else
Fagus_grandifolia,else,NA,else
Fagus_hayatae,else,NA,else
Fagus_japonica,else,NA,else
Fagus_lucida,else,NA,else
Fagus_orientalis,else,NA,else
Fagus_sinensis,else,NA,else
Fagus_sylvatica,else,else,else
Faidherbia_albida,else,else,else
Falcataria_falcata,else,tropical,tropical
Falcataria_toona,NA,else,else
Falcatifolium_papuanum,else,tropical,tropical
Falcatifolium_taxoides,NA,else,else
Falconeria_insignis,else,NA,else
Faramea_anisocalyx,tropical,tropical,tropical
Faramea_atlantica,NA,else,else
Faramea_axillaris,tropical,tropical,tropical
Faramea_bahiensis,NA,else,else
Faramea_bangii,tropical,tropical,tropical
Faramea_biflora,NA,else,else
Faramea_boomii,tropical,tropical,tropical
Faramea_brachysiphon,else,NA,else
Faramea_bracteata,tropical,tropical,tropical
Faramea_calophylla,tropical,tropical,tropical
Faramea_calyptrata,tropical,tropical,tropical
Faramea_candelabrum,NA,else,else
Faramea_capillipes,tropical,tropical,tropical
Faramea_capulifolia,tropical,NA,tropical
Faramea_cardonae,tropical,NA,tropical
Faramea_coerulea,NA,else,else
Faramea_coerulescens,tropical,tropical,tropical
Faramea_coffeoides,tropical,tropical,tropical
Faramea_corymbosa,tropical,tropical,tropical
Faramea_crassifolia,tropical,tropical,tropical
Faramea_cuspidata,tropical,NA,tropical
Faramea_cyathocalyx,tropical,NA,tropical
Faramea_eurycarpa,tropical,tropical,tropical
Faramea_exemplaris,NA,tropical,tropical
Faramea_fragrans,tropical,tropical,tropical
Faramea_glandulosa,tropical,tropical,tropical
Faramea_grandifolia,tropical,tropical,tropical
Faramea_hyacinthina,NA,else,else
Faramea_insignis,tropical,tropical,tropical
Faramea_jasminoides,tropical,tropical,tropical
Faramea_juruana,tropical,tropical,tropical
Faramea_langlassei,tropical,tropical,tropical
Faramea_latifolia,else,else,else
Faramea_lehmannii,tropical,NA,tropical
Faramea_luteovirens,tropical,NA,tropical
Faramea_lutescens,tropical,NA,tropical
Faramea_miconioides,tropical,tropical,tropical
Faramea_monsalveae,tropical,NA,tropical
Faramea_montevidensis,NA,else,else
Faramea_multiflora,tropical,tropical,tropical
Faramea_nigrescens,NA,else,else
Faramea_oblongifolia,tropical,tropical,tropical
Faramea_occidentalis,else,tropical,tropical
Faramea_oligantha,NA,else,else
Faramea_orinocencis,tropical,NA,tropical
Faramea_ovalis,tropical,tropical,tropical
Faramea_pachyantha,NA,else,else
Faramea_paniculata,tropical,tropical,tropical
Faramea_parvibractea,tropical,tropical,tropical
Faramea_porophylla,NA,else,else
Faramea_quinqueflora,tropical,tropical,tropical
Faramea_sessilifolia,tropical,tropical,tropical
Faramea_spathacea,tropical,tropical,tropical
Faramea_stenopetala,tropical,tropical,tropical
Faramea_stipulacea,NA,else,else
Faramea_subsessilis,NA,tropical,tropical
Faramea_suerrensis,tropical,tropical,tropical
Faramea_tamberlikiana,tropical,tropical,tropical
Faramea_tenuifolia,NA,else,else
Faramea_torquata,tropical,tropical,tropical
Faramea_trinervia,tropical,NA,tropical
Faramea_truncata,NA,else,else
Faramea_verticillata,tropical,tropical,tropical
Fatsia_polycarpa,else,NA,else
Faucherea_ambrensis,NA,else,else
Faucherea_hexandra,NA,else,else
Faucherea_laciniata,NA,else,else
Faucherea_manongarivensis,NA,else,else
Faucherea_parvifolia,NA,else,else
Faucherea_thouvenotii,NA,else,else
Faurea_forficuliflora,NA,else,else
Faurea_galpinii,NA,else,else
Faurea_macnaughtonii,NA,else,else
Faurea_rochetiana,tropical,else,else
Faurea_saligna,tropical,else,else
Fegimanra_africana,tropical,tropical,tropical
Fenerivia_capuronii,NA,else,else
Fenerivia_chapelieri,NA,else,else
Fenerivia_ghesquiereana,NA,else,else
Ferdinandusa_chlorantha,tropical,tropical,tropical
Ferdinandusa_elliptica,tropical,else,else
Ferdinandusa_goudotiana,tropical,tropical,tropical
Ferdinandusa_guainiae,tropical,tropical,tropical
Ferdinandusa_hirsuta,tropical,tropical,tropical
Ferdinandusa_loretensis,tropical,tropical,tropical
Ferdinandusa_panamensis,else,NA,else
Ferdinandusa_paraensis,tropical,tropical,tropical
Ferdinandusa_rudgeoides,tropical,tropical,tropical
Ferdinandusa_speciosa,tropical,else,else
Ferdinandusa_sprucei,tropical,tropical,tropical
Ferdinandusa_uaupensis,tropical,tropical,tropical
Feretia_aeruginescens,NA,else,else
Feretia_apodanthera,else,tropical,else
Fernandoa_adenophylla,else,NA,else
Fernandoa_adolfi-Friderici,tropical,tropical,tropical
Fernandoa_coccinea,NA,else,else
Fernandoa_madagascariensis,NA,else,else
Fernandoa_magnifica,NA,tropical,tropical
Ficalhoa_laurifolia,tropical,tropical,tropical
Ficus_abelii,else,NA,else
Ficus_abutilifolia,else,else,else
Ficus_acamptophylla,tropical,tropical,tropical
Ficus_aculeata,NA,else,else
Ficus_adenosperma,tropical,tropical,tropical
Ficus_adhatodifolia,tropical,else,else
Ficus_albert-Smithii,tropical,tropical,tropical
Ficus_albipila,tropical,else,else
Ficus_altissima,else,tropical,else
Ficus_amazonica,tropical,tropical,tropical
Ficus_americana,tropical,tropical,tropical
Ficus_ampana,NA,else,else
Ficus_ampelas,else,tropical,else
Ficus_ampelos,else,tropical,else
Ficus_amplissima,else,NA,else
Ficus_annulata,tropical,tropical,tropical
Ficus_antandronarum,NA,else,else
Ficus_apiocarpa,tropical,tropical,tropical
Ficus_apollinaris,else,else,tropical
Ficus_ardisioides,tropical,tropical,tropical
Ficus_arfakensis,NA,tropical,tropical
Ficus_aripuanensis,tropical,else,else
Ficus_armitii,NA,tropical,tropical
Ficus_arnottiana,else,NA,else
Ficus_artocarpoides,tropical,tropical,tropical
Ficus_aspera,else,else,else
Ficus_asperifolia,tropical,tropical,tropical
Ficus_asperula,NA,else,else
Ficus_assimilis,NA,else,else
Ficus_atricha,NA,else,else
Ficus_aurata,tropical,tropical,tropical
Ficus_aurea,else,else,else
Ficus_auriculata,else,else,else
Ficus_aurita,tropical,tropical,tropical
Ficus_austrocaledonica,NA,else,else
Ficus_bahiensis,NA,else,else
Ficus_barteri,tropical,tropical,tropical
Ficus_beccarii,tropical,tropical,tropical
Ficus_beddomei,else,NA,else
Ficus_benghalensis,else,else,else
Ficus_benguetensis,else,NA,else
Ficus_benjamina,else,else,else
Ficus_bernaysii,NA,tropical,tropical
Ficus_binnendijkii,tropical,tropical,tropical
Ficus_boliviana,NA,else,else
Ficus_bonijesulapensis,NA,else,else
Ficus_borneensis,tropical,NA,tropical
Ficus_botryocarpa,tropical,tropical,tropical
Ficus_botryoides,NA,else,else
Ficus_brachyclada,NA,else,else
Ficus_brachypoda,NA,else,else
Ficus_brevibracteata,tropical,tropical,tropical
Ficus_broadwayi,tropical,else,tropical
Ficus_brunneoaurata,tropical,tropical,tropical
Ficus_bubu,tropical,else,tropical
Ficus_burtt-Davyi,NA,else,else
Ficus_caatingae,NA,else,else
Ficus_caballina,tropical,tropical,tropical
Ficus_cahuitensis,else,NA,else
Ficus_caldasiana,tropical,tropical,tropical
Ficus_calimana,tropical,tropical,tropical
Ficus_callophylla,tropical,tropical,tropical
Ficus_callosa,else,tropical,else
Ficus_calopilina,NA,tropical,tropical
Ficus_calyculata,else,NA,else
Ficus_calyptrata,tropical,NA,tropical
Ficus_calyptroceras,NA,else,else
Ficus_capreifolia,tropical,else,tropical
Ficus_carautana,NA,else,else
Ficus_carchiana,tropical,tropical,tropical
Ficus_carica,else,else,else
Ficus_carpentariensis,NA,else,else
Ficus_casapiensis,tropical,tropical,tropical
Ficus_casearioides,tropical,tropical,tropical
Ficus_castellviana,tropical,else,else
Ficus_catappifolia,tropical,tropical,tropical
Ficus_caulocarpa,else,tropical,tropical
Ficus_cerasicarpa,NA,else,else
Ficus_cervantesiana,tropical,tropical,tropical
Ficus_cestrifolia,NA,else,else
Ficus_chapaensis,else,NA,else
Ficus_chartacea,tropical,tropical,tropical
Ficus_chlamydocarpa,tropical,NA,tropical
Ficus_citrifolia,else,else,tropical
Ficus_clusiifolia,tropical,else,else
Ficus_coerulescens,tropical,else,else
Ficus_colubrinae,else,NA,else
Ficus_concinna,else,tropical,else
Ficus_congesta,tropical,else,else
Ficus_conocephalifolia,NA,tropical,tropical
Ficus_conraui,tropical,tropical,tropical
Ficus_consociata,tropical,tropical,tropical
Ficus_copiosa,tropical,tropical,tropical
Ficus_cordata,else,else,else
Ficus_coronata,else,else,else
Ficus_coronulata,NA,else,else
Ficus_costaricana,else,tropical,else
Ficus_cotinifolia,else,else,else
Ficus_crassinervia,else,NA,else
Ficus_crassiramea,tropical,tropical,tropical
Ficus_crassiuscula,tropical,else,tropical
Ficus_craterostoma,tropical,else,tropical
Ficus_crocata,else,else,else
Ficus_cuatrecasasiana,tropical,else,tropical
Ficus_cucurbitina,tropical,tropical,tropical
Ficus_cumingii,else,tropical,else
Ficus_cundinamarcensis,tropical,tropical,tropical
Ficus_cuspidata,tropical,tropical,tropical
Ficus_cyathistipula,tropical,tropical,tropical
Ficus_cyclophylla,else,else,else
Ficus_cyrtophylla,else,NA,else
Ficus_dammaropsis,else,tropical,tropical
Ficus_davidsoniae,tropical,tropical,tropical
Ficus_deltoidea,tropical,tropical,tropical
Ficus_dendrocida,tropical,else,tropical
Ficus_depressa,tropical,tropical,tropical
Ficus_destruens,NA,else,else
Ficus_dicranostyla,tropical,tropical,tropical
Ficus_donnell-Smithii,tropical,tropical,tropical
Ficus_drupacea,else,tropical,tropical
Ficus_dryepondtiana,tropical,tropical,tropical
Ficus_duckeana,tropical,tropical,tropical
Ficus_dulciaria,tropical,tropical,tropical
Ficus_edelfeltii,NA,tropical,tropical
Ficus_elastica,else,else,else
Ficus_elasticoides,tropical,tropical,tropical
Ficus_enormis,NA,else,else
Ficus_erecta,else,else,else
Ficus_ernanii,NA,else,else
Ficus_erythrosperma,tropical,tropical,tropical
Ficus_exasperata,tropical,tropical,tropical
Ficus_eximia,tropical,else,else
Ficus_fistulosa,else,tropical,tropical
Ficus_forstenii,tropical,tropical,tropical
Ficus_fraseri,NA,else,else
Ficus_fulva,else,tropical,tropical
Ficus_funiculosa,NA,tropical,tropical
Ficus_gasparriniana,else,tropical,else
Ficus_gigantosyce,tropical,tropical,tropical
Ficus_glaberrima,else,tropical,else
Ficus_glandulifera,tropical,tropical,tropical
Ficus_glumosa,tropical,else,tropical
Ficus_gomelleira,tropical,else,else
Ficus_gracillima,NA,tropical,tropical
Ficus_grevei,NA,else,else
Ficus_grewiifolia,tropical,tropical,tropical
Ficus_grossularioides,tropical,tropical,tropical
Ficus_gul,tropical,tropical,tropical
Ficus_habrophylla,NA,else,else
Ficus_hartwegii,tropical,tropical,tropical
Ficus_hebetifolia,tropical,tropical,tropical
Ficus_hemsleyana,tropical,tropical,tropical
Ficus_henryi,else,NA,else
Ficus_hesperidiiformis,NA,tropical,tropical
Ficus_heteromorpha,else,NA,else
Ficus_heteropleura,tropical,tropical,tropical
Ficus_heteropoda,else,tropical,tropical
Ficus_hirsuta,NA,else,else
Ficus_hispida,else,else,tropical
Ficus_holosericea,else,else,else
Ficus_ilicina,NA,else,else
Ficus_inaequipetiolata,tropical,tropical,tropical
Ficus_ingens,tropical,else,tropical
Ficus_insipida,else,else,tropical
Ficus_iodotricha,NA,tropical,tropical
Ficus_ischnopoda,else,NA,else
Ficus_itoana,NA,tropical,tropical
Ficus_jacobii,tropical,tropical,tropical
Ficus_kamerunensis,tropical,tropical,tropical
Ficus_krukovii,tropical,tropical,tropical
Ficus_kurzii,else,tropical,tropical
Ficus_lagoensis,NA,else,else
Ficus_langkokensis,else,NA,else
Ficus_lapathifolia,else,NA,else
Ficus_laureola,NA,else,else
Ficus_lauretana,tropical,tropical,tropical
Ficus_lawesii,tropical,tropical,tropical
Ficus_leiophylla,tropical,tropical,tropical
Ficus_lepicarpa,tropical,tropical,tropical
Ficus_leptoclada,NA,else,else
Ficus_leptodictya,NA,tropical,tropical
Ficus_lingua,tropical,tropical,tropical
Ficus_longifolia,else,tropical,tropical
Ficus_luschnathiana,else,else,else
Ficus_lutea,tropical,else,tropical
Ficus_lyrata,else,else,tropical
Ficus_macbridei,tropical,tropical,tropical
Ficus_macilenta,tropical,tropical,tropical
Ficus_macrophylla,else,else,else
Ficus_magnoliifolia,tropical,tropical,tropical
Ficus_maitin,tropical,NA,tropical
Ficus_mariae,NA,else,else
Ficus_marmorata,NA,else,else
Ficus_maroma,NA,else,else
Ficus_mathewsii,tropical,tropical,tropical
Ficus_matiziana,tropical,tropical,tropical
Ficus_maxima,else,tropical,tropical
Ficus_maximoides,NA,tropical,tropical
Ficus_megaleia,tropical,tropical,tropical
Ficus_melinocarpa,tropical,tropical,tropical
Ficus_membranacea,else,tropical,else
Ficus_menabeensis,NA,else,else
Ficus_microcarpa,else,else,else
Ficus_microdictya,NA,tropical,tropical
Ficus_midotis,tropical,tropical,tropical
Ficus_minahassae,tropical,tropical,tropical
Ficus_mollicula,tropical,NA,tropical
Ficus_mollior,NA,tropical,tropical
Ficus_montana,tropical,tropical,tropical
Ficus_mucuso,tropical,tropical,tropical
Ficus_mutisii,tropical,tropical,tropical
Ficus_nasuta,NA,tropical,tropical
Ficus_natalensis,tropical,else,tropical
Ficus_neriifolia,else,NA,else
Ficus_nervosa,else,tropical,else
Ficus_nitidifolia,NA,else,else
Ficus_nymphaeifolia,tropical,tropical,tropical
Ficus_obliqua,else,else,else
Ficus_obscura,tropical,tropical,tropical
Ficus_obtusifolia,else,else,tropical
Ficus_obtusiuscula,else,else,else
Ficus_oleifolia,tropical,tropical,tropical
Ficus_opposita,NA,else,else
Ficus_organensis,NA,else,else
Ficus_orthoneura,else,NA,else
Ficus_ottoniifolia,tropical,tropical,tropical
Ficus_pachyrrhachis,tropical,tropical,tropical
Ficus_padana,tropical,tropical,tropical
Ficus_pakkensis,tropical,tropical,tropical
Ficus_pallida,tropical,tropical,tropical
Ficus_palmata,else,tropical,else
Ficus_paludica,tropical,tropical,tropical
Ficus_panurensis,tropical,tropical,tropical
Ficus_paraensis,tropical,tropical,tropical
Ficus_parietalis,tropical,tropical,tropical
Ficus_pedunculosa,else,tropical,else
Ficus_pertusa,else,else,tropical
Ficus_petiolaris,else,else,else
Ficus_phaeosyce,NA,tropical,tropical
Ficus_piresiana,tropical,tropical,tropical
Ficus_pisocarpa,tropical,tropical,tropical
Ficus_platyphylla,else,else,else
Ficus_platypoda,else,else,else
Ficus_podocarpifolia,NA,else,else
Ficus_polita,tropical,else,tropical
Ficus_politoria,NA,else,else
Ficus_polyantha,tropical,tropical,tropical
Ficus_polyphlebia,NA,else,else
Ficus_popenoei,tropical,tropical,tropical
Ficus_populifolia,tropical,else,tropical
Ficus_preussii,tropical,tropical,tropical
Ficus_prolixa,else,else,else
Ficus_pseudomangifera,tropical,tropical,tropical
Ficus_pubigera,else,NA,else
Ficus_pulchella,tropical,else,else
Ficus_pungens,tropical,tropical,tropical
Ficus_pygmaea,NA,else,else
Ficus_pyriformis,else,NA,else
Ficus_quercetorum,NA,tropical,tropical
Ficus_racemigera,NA,else,else
Ficus_racemosa,else,else,else
Ficus_reflexa,tropical,else,else
Ficus_religiosa,else,else,else
Ficus_retusa,else,tropical,else
Ficus_ribes,tropical,tropical,tropical
Ficus_richteri,tropical,tropical,tropical
Ficus_rieberiana,tropical,tropical,tropical
Ficus_riedelii,tropical,tropical,tropical
Ficus_romeroi,tropical,tropical,tropical
Ficus_rubiginosa,else,else,else
Ficus_rubra,else,else,else
Ficus_rubrocuspidata,tropical,tropical,tropical
Ficus_rubromidotis,tropical,tropical,tropical
Ficus_ruficaulis,else,tropical,else
Ficus_rumphii,else,tropical,else
Ficus_rzedowskiana,else,NA,else
Ficus_sagittata,tropical,tropical,tropical
Ficus_sagittifolia,tropical,NA,tropical
Ficus_sansibarica,tropical,else,tropical
Ficus_satterthwaitei,else,NA,else
Ficus_saussureana,tropical,tropical,tropical
Ficus_scaberrima,tropical,tropical,tropical
Ficus_scabra,tropical,else,else
Ficus_scassellatii,tropical,tropical,tropical
Ficus_schippii,tropical,tropical,tropical
Ficus_schultesii,tropical,tropical,tropical
Ficus_schumacheri,tropical,tropical,tropical
Ficus_schwarzii,tropical,tropical,tropical
Ficus_scobina,NA,else,else
Ficus_scott-Elliottii,else,NA,else
Ficus_semicordata,else,NA,else
Ficus_semivestita,NA,tropical,tropical
Ficus_septica,else,tropical,tropical
Ficus_serraria,tropical,tropical,tropical
Ficus_simplicissima,else,NA,else
Ficus_sinuata,tropical,tropical,tropical
Ficus_soatensis,tropical,NA,tropical
Ficus_spathulifolia,tropical,tropical,tropical
Ficus_sphenophylla,tropical,tropical,tropical
Ficus_squamosa,else,NA,else
Ficus_stellaris,NA,tropical,tropical
Ficus_stolonifera,tropical,tropical,tropical
Ficus_storckii,NA,else,else
Ficus_stricta,else,tropical,tropical
Ficus_stuhlmannii,tropical,else,else
Ficus_subcordata,tropical,tropical,tropical
Ficus_subcuneata,tropical,tropical,tropical
Ficus_subfulva,tropical,tropical,tropical
Ficus_subincisa,else,NA,else
Ficus_subnervosa,NA,tropical,tropical
Ficus_subpisocarpa,else,tropical,else
Ficus_subpuberula,NA,else,else
Ficus_subsagittifolia,tropical,tropical,tropical
Ficus_subtrinervia,tropical,tropical,tropical
Ficus_subulata,tropical,tropical,tropical
Ficus_sumatrana,tropical,tropical,tropical
Ficus_sundaica,tropical,tropical,tropical
Ficus_superba,else,else,else
Ficus_sur,tropical,else,tropical
Ficus_sycomorus,else,else,tropical
Ficus_talbotii,else,NA,else
Ficus_tepuiensis,tropical,NA,tropical
Ficus_tequendamae,tropical,NA,tropical
Ficus_tesselata,tropical,else,tropical
Ficus_tettensis,NA,else,else
Ficus_thonningii,tropical,else,tropical
Ficus_tikoua,else,NA,else
Ficus_tiliifolia,NA,else,else
Ficus_tinctoria,else,tropical,tropical
Ficus_tonduzii,tropical,tropical,tropical
Ficus_torrentium,NA,else,else
Ficus_trachelosyce,tropical,NA,tropical
Ficus_trachypison,tropical,tropical,tropical
Ficus_trapezicola,tropical,tropical,tropical
Ficus_tremula,tropical,tropical,tropical
Ficus_treubii,tropical,tropical,tropical
Ficus_trianae,tropical,tropical,tropical
Ficus_trichocarpa,tropical,tropical,tropical
Ficus_trichocerasa,NA,tropical,tropical
Ficus_trichopoda,tropical,else,tropical
Ficus_tricolor,tropical,tropical,tropical
Ficus_trigona,tropical,tropical,tropical
Ficus_trigonata,else,else,else
Ficus_trivia,else,NA,else
Ficus_tsiangii,else,NA,else
Ficus_tsjahela,else,NA,else
Ficus_tubulosa,NA,tropical,tropical
Ficus_tuphapensis,else,NA,else
Ficus_turrialbana,else,tropical,else
Ficus_ulmifolia,else,NA,else
Ficus_umbellata,tropical,tropical,tropical
Ficus_uncinata,tropical,tropical,tropical
Ficus_uniglandulosa,tropical,tropical,tropical
Ficus_ursina,NA,tropical,tropical
Ficus_vallis-Choudae,tropical,tropical,tropical
Ficus_variegata,else,tropical,tropical
